"i","d","t","pet","y"
1,1,1,3.20600618300729,14.1433787431449
1,1,2,4.97419501485123,16.3261708009397
1,1,3,4.9633978302889,24.194904208616
1,1,4,3.30903866139751,21.6740686948532
1,1,5,3.43454633186335,23.8616771721719
1,1,6,4.53496876346962,23.0215937217103
1,1,7,4.98945515766682,23.5572571301301
1,1,8,3.91234749363905,19.8992568355117
1,1,9,4.01661030478465,17.3991407294955
1,1,10,2.73815572301439,14.9813417585383
1,1,11,3.91147554898612,18.4529255934665
1,1,12,4.8169942401687,19.9149652002067
1,1,13,4.57697568544643,19.038758650869
1,1,14,3.97728840312963,15.1037678344694
1,1,15,1.46256811029799,2.99872784983245
1,1,16,5.1083674760716,18.1265116942766
1,1,17,4.43774262831437,19.6003158313942
1,1,18,2.87575537596538,13.975285760892
1,1,19,2.83046850384498,10.6261528858009
1,1,20,3.30256522953916,9.38417283658122
1,1,21,1.84426976592866,9.93390961509645
1,1,22,4.79169230755287,16.621587912438
1,1,23,2.96328552088296,15.3733854411206
1,1,24,3.41014539272925,13.7391113672546
1,1,25,3.71840215437726,14.898405695907
1,1,26,4.99457614349858,16.5351189083389
1,1,27,4.85397646798798,16.3931774056805
1,1,28,2.87835983342383,14.8780681213303
1,1,29,3.20333750368056,14.0090637309454
1,1,30,4.68530302931349,15.9250189680692
1,1,31,4.88746530559608,14.5183328684933
1,1,32,4.29911907741946,14.8707242425676
1,1,33,3.46055729755151,15.3292430495675
1,1,34,3.24018619519526,13.4652721758527
1,1,35,1.71730109741723,10.9969184943633
1,1,36,4.18116429086572,14.096684263763
1,1,37,3.91226763650379,12.8253942919788
1,1,38,1.64762310825205,8.16802225587714
1,1,39,3.62724033065503,10.8076143482068
1,1,40,4.06537714274841,13.7222134100582
1,1,41,4.2188200196636,16.2090740634905
1,1,42,4.33490207791779,14.116425641306
1,1,43,4.17100317677071,14.3784582019996
1,1,44,2.89876567877585,11.947236083255
1,1,45,4.01288080068747,10.116384864535
1,1,46,3.97808682133385,11.5471413641643
1,1,47,3.92145148132952,11.5767087342885
1,1,48,3.41517300091228,10.2933430166918
1,1,49,3.27594480158153,10.6347796968747
1,1,50,3.40555434012425,10.8829249498021
1,1,51,3.4846663381369,10.3368697317473
